"IPAddress","Status","MACAddress","SerialNumber","Source"
"10.202.46.169","Online","Unavailable","Unavailable","Unknown"
"10.202.46.168","Online","Unavailable","Unavailable","Unknown"
"10.202.46.170","Online","Unavailable","Unavailable","Unknown"
"10.202.47.142","Online","Unavailable","Unavailable","Unknown"
"10.202.47.144","Online","Unavailable","Unavailable","Unknown"
"10.202.47.111","Online","Unavailable","Unavailable","Unknown"
"10.202.47.45","Online","Unavailable","Unavailable","Unknown"
"10.202.47.134","Online","Unavailable","Unavailable","Unknown"
"10.202.46.172","Online","Unavailable","Unavailable","Unknown"
