| Workstation               | DefaultQueue              | SecondaryQueue            | TertiaryQueue             |
| ------------------------- | ------------------------- | ------------------------- | ------------------------- |
| WLS111WCC035              | \SWBPNSHPS01V\LS111-WCC09 | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |
| WLS111WCC036              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC037              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC038              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC039              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC040              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC041              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC042              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC043              | \SWBPNSHPS01V\LS111-WCC34 | \SWBPNSHPS01V\LS111-WCC36 |                           |
| WLS111WCC024              | \SWBPNSHPS01V\LS111-WCC36 | \SWBPNSHPS01V\LS111-WCC34 |                           |
| WLS111WCC025              | \SWBPNSHPS01V\LS111-WCC36 | \SWBPNSHPS01V\LS111-WCC34 |                           |
| WLS111WCC026              | \SWBPNSHPS01V\LS111-WCC36 | \SWBPNSHPS01V\LS111-WCC34 |                           |
| WLS111WCC078-WLS111WCC094 | \SWBPNSHPS01V\LS111-WCC36 | \SWBPNSHPS01V\LS111-WCC34 |                           |
